first run,mergeSort,quickSort
1 to 1000,859752,506713
1 to 10000,1762170,1701379
1 to 100000,18047990,12238530
1 to 1000000,162496852,96868004
1 to 10000000,1822345918,1107885815
,,
,,
second run,,
1 to 1000,838607,471599
1 to 10000,1833533,1817297
1 to 100000,17933583,9829564
1 to 1000000,160501715,96188737
1 to 10000000,1906368241,1118819048
,,
,,
third run,,
1 to 1000,898642,714005
1 to 10000,2468624,1275846
1 to 100000,20850773,9368538
1 to 1000000,163005454,97028099
1 to 10000000,1907656170,1106713804
